solver,arm,seed,t0,t1,L2_u_window_pct,acum_interna,loss_final,total_time_s,run_dir
Classical,A,1,0.0,0.5,1.570475846529007,0.796107828617096,0.09737225621938705,58.71765327453613,results_causal/causalA_classical_seed1/2026-09-01_16-49-37-273827
Classical,A,2,0.0,0.5,3.203745186328888,0.24468065798282623,0.1602206975221634,57.37360668182373,results_causal/causalA_classical_seed2/2026-09-01_16-51-36-182750
Classical,A,3,0.0,0.5,1.836344599723816,2.6744282245635986,0.09701590985059738,58.82661294937134,results_causal/causalA_classical_seed3/2026-09-01_16-53-37-685366
Classical,A,4,0.0,0.5,2.7195559814572334,2.9179935455322266,0.1145612895488739,56.79907298088074,results_causal/causalA_classical_seed4/2026-09-01_16-55-38-399926
Classical,A,5,0.0,0.5,3.22461761534214,1.450924277305603,0.047820668667554855,60.49732494354248,results_causal/causalA_classical_seed5/2026-09-01_16-57-40-079358
DV,A,1,0.0,0.5,0.865634810179472,1.4387023448944092,0.028373459354043007,4871.348051309586,results_causal/causalA_dv_cascade_seed1/2026-09-01_15-16-11-053803
DV,A,2,0.0,0.5,3.542102128267288,4.7291975021362305,0.15089228749275208,4797.913126945496,results_causal/causalA_dv_cascade_seed2/2026-09-01_15-16-11-053162
DV,A,3,0.0,0.5,1.653081364929676,1.3636218309402466,0.10721507668495178,4823.063956737518,results_causal/causalA_dv_cascade_seed3/2026-09-01_15-16-11-053697
DV,A,4,0.0,0.5,3.4986119717359543,3.474688768386841,0.09428483247756958,4424.055854558945,results_causal/causalA_dv_cascade_seed4/2026-09-01_16-49-00-124735
DV,A,5,0.0,0.5,2.543158642947674,1.2061253786087036,0.13542824983596802,4379.826171159744,results_causal/causalA_dv_cascade_seed5/2026-09-01_16-49-00-057598
Classical,B,1,0.5,1.0,1.989596150815487,1.2736152410507202,0.1389504075050354,56.09921097755432,results_causal/causalB_classical_seed1/2026-09-01_16-50-38-066838
Classical,B,2,0.5,1.0,1.2002837844192982,1.7366260290145874,0.09945783019065857,59.9324517250061,results_causal/causalB_classical_seed2/2026-09-01_16-52-35-627617
Classical,B,3,0.5,1.0,1.2160287238657475,0.8278607130050659,0.28456225991249084,57.67075538635254,results_causal/causalB_classical_seed3/2026-09-01_16-54-38-687569
Classical,B,4,0.5,1.0,1.465759240090847,7.114466190338135,0.088681161403656,60.67509198188782,results_causal/causalB_classical_seed4/2026-09-01_16-56-37-303649
Classical,B,5,0.5,1.0,1.7477016896009445,1.4360871315002441,0.34501564502716064,57.56302332878113,results_causal/causalB_classical_seed5/2026-09-01_16-58-42-668136
DV,B,1,0.5,1.0,3.3677347004413605,1.7629142999649048,0.14416272938251495,4869.206616401672,results_causal/causalB_dv_cascade_seed1/2026-09-01_15-16-11-053332
DV,B,2,0.5,1.0,2.7712708339095116,1.4932423830032349,0.10667616128921509,4835.696830034256,results_causal/causalB_dv_cascade_seed2/2026-09-01_15-16-11-053420
DV,B,3,0.5,1.0,4.471207782626152,1.2017722129821777,0.4065665006637573,4785.084723949432,results_causal/causalB_dv_cascade_seed3/2026-09-01_15-16-11-053597
DV,B,4,0.5,1.0,2.5324679911136627,0.669555127620697,0.10205139964818954,4335.385145664215,results_causal/causalB_dv_cascade_seed4/2026-09-01_16-49-00-127568
DV,B,5,0.5,1.0,3.7432480603456497,1.8265832662582397,0.7444429993629456,4364.464921712875,results_causal/causalB_dv_cascade_seed5/2026-09-01_16-49-00-144731
