solver,n_A,n_B,A_mean,A_std,B_mean,B_std,ratio_B_over_A
Classical,5,5,2.510947845876217,0.7701277767834895,1.5238739177584648,0.34272898307894234,0.6068919034941946
DV,10,10,2.6275421399623156,1.0929750674158851,3.679106365889311,1.621056481560148,1.4002083201383315
