nx,nt,dx,dt,L2_u_global_pct,orden_observado,tiempo_s
51,101,0.02,0.01,0.34647734244567846,,0.022836610001832014
101,201,0.01,0.005,0.08153410744579866,2.09,0.03569310099919676
201,401,0.005,0.0025,0.019096062759655433,2.09,0.09858445400095661
401,801,0.0025,0.00125,0.005049738494397742,1.92,0.2844055780005874
