group,run_dir,seed,n_params,mean_iter_time_s,total_time_s,peak_rss_mb,loss_final,L2_u_global_pct,L2_f_global_pct,L2_u_t0_pct,L2_u_boundary_pct,L2_u_interior_pct
cascade,results/kg_dv_angle_cascade_seed1/2026-08-31_16-01-19-273923,1,771,0.25335716940977787,5067.561734199524,501.78515625,0.28692469000816345,2.1095681935548782,0.8008413948118687,0.4307808354496956,1.4573974534869194,2.1241674199700356
cascade,results/kg_dv_angle_cascade_seed10/2026-08-31_17-27-21-873439,10,771,0.2568957836533264,5138.339156150818,505.78125,0.17035281658172607,5.553988739848137,1.7823319882154465,0.9201699867844582,3.3838551491498947,5.6001923978328705
cascade,results/kg_dv_angle_cascade_seed2/2026-08-31_16-01-19-253934,2,771,0.2537272506039292,5074.968395471573,498.6171875,1.0748425722122192,4.859580099582672,2.60103028267622,1.2701704166829586,3.3101368695497513,4.894062876701355
cascade,results/kg_dv_angle_cascade_seed3/2026-08-31_16-01-19-264828,3,771,0.2556245196217651,5112.912129402161,504.10546875,0.09096162021160126,3.8235921412706375,1.095704361796379,1.5986936166882515,2.1086908876895905,3.85877788066864
cascade,results/kg_dv_angle_cascade_seed4/2026-08-31_16-01-19-274927,4,771,0.25598026257267315,5120.028304576874,500.55859375,0.3736298084259033,5.836545303463936,1.516736764460802,1.881909929215908,2.1105654537677765,5.903560668230057
cascade,results/kg_dv_angle_cascade_seed5/2026-08-31_16-01-19-264057,5,771,0.2569142740658971,5138.704900979996,500.08984375,0.4058346450328827,7.974856346845627,2.0622627809643745,2.015726827085018,4.494325444102287,8.04682970046997
cascade,results/kg_dv_angle_cascade_seed6/2026-08-31_17-26-11-361455,6,771,0.25443277137792825,5089.075186252594,512.44140625,0.17110909521579742,5.311863124370575,1.7359530553221703,2.2347990423440933,2.5919634848833084,5.365360528230667
cascade,results/kg_dv_angle_cascade_seed7/2026-08-31_17-26-18-124224,7,771,0.25564597508114967,5113.330545663834,508.00390625,0.3544462323188782,3.660091757774353,1.3868610374629498,1.8165839836001396,2.616329863667488,3.683793917298317
cascade,results/kg_dv_angle_cascade_seed8/2026-08-31_17-26-56-269152,8,771,0.2569813430123938,5140.037157773972,509.8671875,0.3127867579460144,11.94816380739212,2.418917417526245,4.153018817305565,5.327119305729866,12.074673920869827
cascade,results/kg_dv_angle_cascade_seed9/2026-08-31_17-27-03-294833,9,771,0.2565570405411739,5131.565097570419,507.02734375,0.13606612384319305,4.683421552181244,0.9842841885983944,1.9734863191843033,3.7931889295578003,4.704778641462326
q6,results/kg_dv_cascade_q6_seed1/2026-09-08_15-58-18-867542,1,875,0.3192827283069875,6386.126250982285,615.8984375,0.09536519646644592,3.6705251783132553,0.9640333242714405,1.9402135163545609,2.4244796484708786,3.6979109048843384
q6,results/kg_dv_cascade_q6_seed2/2026-09-08_15-58-18-867934,2,875,0.3189306719954029,6379.081873416901,612.875,0.26581984758377075,5.58500848710537,2.0327169448137283,1.1201243847608566,2.485026977956295,5.644203722476959
q6,results/kg_dv_cascade_q6_seed3/2026-09-08_15-58-18-868090,3,875,0.31968731914799303,6394.210009336472,612.5546875,0.21658822894096375,5.880236253142357,1.7589958384633064,0.8823996409773827,2.378050424158573,5.945220589637756
