nx,nt,dx,dt,L2_u_global_pct,orden_observado,tiempo_s
51,101,0.02,0.01,0.3191207160827421,,0.004259631001332309
101,201,0.01,0.005,0.07827376075117469,2.03,0.008425210999121191
201,401,0.005,0.0025,0.018720776863652266,2.06,0.02123646300242399
401,801,0.0025,0.00125,0.005021718635320695,1.90,0.05787065999902552
